CUSTOMER_ID||CUSTOMER_UNIQUE_ID||CUSTOMER_ZIP_CODE_PREFIX
5e274e7a0c3809e14aba7ad5aae0d407||57b2a98a409812fe9618067b6b8ebe4f||35182
4b7139f34592b3a31687243a302fa75b||9afe194fb833f79e300e37e580171f22||30575
5adf08e34b2e993982a47070956c5c65||1175e95fb47ddff9de6b2b06188f7e0d||81560
5aa9e4fdd4dfd20959cad2d772509598||2a46fb94aef5cbeeb850418118cee090||20231
879864dab9bc3047522c92c82e1212b8||4c93744516667ad3b8f1fb645a3116a4||89254
fd826e7cf63160e536e0908c76c3f441||addec96d2e059c80c30fe6871d30d177||4534
120||0||
123||0||
3||2||1231
4||2||1231
5||2||1231
